Code,Country,2022,2020,2015,2010,2000,1990,1980,1970,World Population Percentage
AFG,Afghanistan,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,0.52
ALB,Albania,2842321,2866849,2882481,2913399,3182021,3295066,2941651,2324731,0.04
DZA,Algeria,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,0.56
ASM,American Samoa,44273,46189,51368,54849,58230,47818,32886,27075,0
AND,Andorra,79824,77700,71746,71519,66097,53569,35611,19860,0
AGO,Angola,35588987,33428485,28127721,23364185,16394062,11828638,8330047,6029700,0.45
AIA,Anguilla,15857,15585,14525,13172,11047,8316,6560,6283,0
ATG,Antigua and Barbuda,93763,92664,89941,85695,75055,63328,64888,64516,0
ARG,Argentina,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,0.57
ARM,Armenia,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,0.03
ABW,Aruba,106445,106585,104257,100341,89101,65712,62267,59106,0
AUS,Australia,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,0.33
AUT,Austria,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,0.11
AZE,Azerbaijan,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,0.13
BHS,Bahamas,409984,406471,392697,373272,325014,270679,223752,179129,0.01
BHR,Bahrain,1472233,1477469,1362142,1213645,711442,517418,362595,222555,0.02
BGD,Bangladesh,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860,2.15
BRB,Barbados,281635,280693,278083,274711,264657,258868,253575,241397,0
BLR,Belarus,9534954,9633740,9700609,9731427,10256483,10428525,9817257,9170786,0.12
BEL,Belgium,11655930,11561717,11248303,10877947,10264343,9959560,9828986,9629376,0.15
BLZ,Belize,405272,394921,359871,322106,240406,182589,145133,120905,0.01
BEN,Benin,13352864,12643123,10932783,9445710,6998023,5133419,3833939,3023443,0.17
BMU,Bermuda,64184,64031,63144,63447,61371,57470,53565,52019,0
BTN,Bhutan,782455,772506,743274,705516,587207,558442,415257,298894,0.01
BOL,Bolivia,12224110,11936162,11090085,10223270,8592656,7096194,5736088,4585693,0.15
BIH,Bosnia and Herzegovina,3233526,3318407,3524324,3811088,4179350,4494310,4199820,3815561,0.04
BWA,Botswana,2630296,2546402,2305171,2091664,1726985,1341474,938578,592244,0.03
BRA,Brazil,215313498,213196304,205188205,196353492,175873720,150706446,122288383,96369875,2.7
